GEOCODE,GEONAME,Total Pop.,Male,Female
3540055,North Huron,4930,2435,2495
3540063,Ashfield-Colborne-Wawanosh,5420,2765,2660
3541004,South Bruce,5635,2870,2775
3541015,Huron-Kinloss,7070,3525,3545
3541024,Kincardine,11385,5550,5840
3541032,Brockton,9460,4680,4780
3541043,Arran-Elderslie,6805,3415,3385
3541045,Saugeen Shores,13715,6675,7040
3541055,South Bruce Peninsula,8415,4145,4275
3541057,Saugeen 29,1040,525,520
3541060,Neyaashiinigmiing 27,615,285,335
3541069,Northern Bruce Peninsula,4000,1965,2035
3542004,West Grey,12520,6385,6135
3542005,Southgate,7355,3815,3540
3542015,Grey Highlands,9805,4890,4910
3542029,Hanover,7690,3595,4090
3542037,Chatsworth,6630,3335,3295
3542045,The Blue Mountains,7025,3450,3575
3542047,Meaford,10990,5375,5610
3542053,Georgian Bluffs,10480,5350,5125
3542059,Owen Sound,21340,9895,11450
3543003,Adjala-Tosorontio,10975,5610,5360
3543005,Clearview,14150,7130,7020
3543007,New Tecumseth,34245,16810,17435
3543009,Springwater,19060,9610,9450
3543014,Bradford West Gwillimbury,35325,17440,17885
3543015,Severn,13475,6740,6735
3543017,Innisfil,36565,18320,18240
3543019,Ramara,9490,4815,4675
3543021,Essa,21080,10975,10110
3543023,Oro-Medonte,21035,10600,10435
3543031,Collingwood,21790,10170,11625
3543042,Barrie,141430,68540,72895
3543050,Mnjikaning First Nation 32,880,440,435
3543052,Orillia,31165,14605,16565
3543064,Wasaga Beach,20675,10055,10620
3543068,Tiny,11785,6020,5760
3543069,Christian Island 30,615,310,300
3543070,Christian Island 30A,45,20,25
3543071,Tay,10035,5135,4900
3543072,Penetanguishene,8965,4500,4465
3543074,Midland,16865,7955,8910
3544002,Gravenhurst,12310,6335,5975
3544018,Bracebridge,16010,7755,8260
3544027,Lake of Bays,3165,1630,1535
3544042,Huntsville,19815,9680,10135
3544053,Muskoka Lakes,6585,3395,3195
3544065,Georgian Bay,2500,1325,1170
3544073,Moose Point 79,210,105,105
3546005,Highlands East,3340,1725,1615
3546015,Minden Hills,6090,3030,3060
3546018,Algonquin Highlands,2350,1215,1140
3546024,Dysart et al,6280,3085,3195
3547002,Arnprior,8795,4165,4635
3547003,McNab/Braeside,7180,3665,3515
3547008,Greater Madawaska,2520,1335,1185
3547020,"Brudenell, Lyndoch and Raglan",1505,785,715
3547030,Madawaska Valley,4125,1985,2135
3547033,"Killaloe, Hagarty and Richards",2420,1235,1185
3547035,Bonnechere Valley,3675,1845,1830
3547037,Pikwakanagan (Golden Lake 39),440,225,215
3547043,Admaston/Bromley,2935,1505,1430
3547046,Horton,2885,1465,1420
3547048,Renfrew,8225,3785,4435
3547056,Whitewater Region,7005,3445,3565
3547064,Pembroke,13885,6455,7430
3547070,North Algona Wilberforce,2915,1495,1420
3547075,Laurentian Valley,9390,4715,4675
3547076,Petawawa,17185,9265,7925
3547090,Laurentian Hills,2960,1510,1450
3547096,Deep River,4110,2065,2040
3547098,"Head, Clara and Maria",245,140,105
3548001,South Algonquin,1095,575,525
3548013,Papineau-Cameron,1015,535,480
3548019,Mattawan,165,85,75
3548021,Mattawa,1990,945,1050
3548022,Calvin,515,240,280
3548027,Bonfield,1975,1005,970
3548031,Chisholm,1290,660,630
3548034,East Ferris,4750,2410,2340
3548044,North Bay,51550,24795,26755
3548055,West Nipissing / Nipissing Ouest,14365,6990,7370
3548069,Temagami,805,390,410
3548072,Bear Island 1,150,70,85
3548073,Nipissing 10,1595,815,780
3548091,"Nipissing, Unorganized, South Part",100,65,40
3548094,"Nipissing, Unorganized, North Part",1785,920,865
3549003,Seguin,4305,2255,2050
3549005,The Archipelago,530,280,250
3549012,McMurrich/Monteith,825,440,385
3549014,Perry,2455,1270,1180
3549018,Kearney,885,465,420
3549019,Armour,1415,740,675
3549022,Burk's Falls,980,465,515
3549024,Ryerson,650,330,315
3549028,McKellar,1110,570,540
3549031,McDougall,2700,1375,1325
3549032,Parry Sound,6410,2965,3440
3549036,Carling,1125,575,550
3549039,Whitestone,915,490,430
3549043,Magnetawan,1390,710,680
3549046,Strong,1440,730,710
3549048,Sundridge,960,455,505
3549051,Joly,305,155,145
3549054,Machar,880,445,435
3549056,South River,1115,555,560
3549060,Powassan,3455,1650,1800
3549066,Callander,3865,1930,1935
3549071,Nipissing,1705,880,830
3549072,Shawanaga 17,195,95,100
3549073,Parry Island First Nation,320,160,155
3549076,French River 13,115,55,60
3549077,Dokis 9,345,185,160
3549078,Magnetewan 1,105,55,50
